unit_id,week_start,week_index,infra_age_years,pipe_material,informal_settlement_pct,population_density,is_known_hotspot,nrw_pct,rainfall_mm,days_since_maintenance,historical_incidents_90d,burst_occurred,nrw_pct_roll4,rainfall_roll4,burst_next_week
1,2024-01-01,0,31.6,steel,7.1,2965.0,0,30.44,12.7,81,0,0,30.44,12.7,0
1,2024-01-08,1,31.6,steel,7.1,2965.0,0,29.47,45.4,88,0,0,29.96,29.05,0
1,2024-01-15,2,31.6,steel,7.1,2965.0,0,28.44,47.6,95,0,0,29.45,35.23,0
1,2024-01-22,3,31.6,steel,7.1,2965.0,0,30.7,45.2,102,0,0,29.76,37.72,0
1,2024-01-29,4,31.6,steel,7.1,2965.0,0,28.99,20.4,109,0,0,29.4,39.65,0
1,2024-02-05,5,31.6,steel,7.1,2965.0,0,28.27,87.9,116,0,0,29.1,50.28,0
1,2024-02-12,6,31.6,steel,7.1,2965.0,0,28.86,16.7,123,0,0,29.2,42.55,0
1,2024-02-19,7,31.6,steel,7.1,2965.0,0,29.71,21.7,130,0,0,28.96,36.68,0
1,2024-02-26,8,31.6,steel,7.1,2965.0,0,30.47,39.5,137,0,0,29.33,41.45,0
1,2024-03-04,9,31.6,steel,7.1,2965.0,0,31.81,33.6,144,0,0,30.21,27.88,0
1,2024-03-11,10,31.6,steel,7.1,2965.0,0,34.14,37.4,151,0,0,31.53,33.05,0
1,2024-03-18,11,31.6,steel,7.1,2965.0,0,33.38,29.0,158,0,0,32.45,34.88,0
1,2024-03-25,12,31.6,steel,7.1,2965.0,0,33.67,39.4,165,0,0,33.25,34.85,0
1,2024-04-01,13,31.6,steel,7.1,2965.0,0,33.16,37.4,172,0,0,33.59,35.8,0
1,2024-04-08,14,31.6,steel,7.1,2965.0,0,33.04,37.0,179,0,0,33.31,35.7,0
1,2024-04-15,15,31.6,steel,7.1,2965.0,0,32.11,44.7,186,0,0,33.0,39.62,0
1,2024-04-22,16,31.6,steel,7.1,2965.0,0,34.0,56.2,193,0,0,33.08,43.82,0
1,2024-04-29,17,31.6,steel,7.1,2965.0,0,35.43,65.1,200,0,0,33.64,50.75,0
1,2024-05-06,18,31.6,steel,7.1,2965.0,0,35.33,47.4,207,0,0,34.22,53.35,0
1,2024-05-13,19,31.6,steel,7.1,2965.0,0,34.82,61.4,214,0,0,34.89,57.53,0
1,2024-05-20,20,31.6,steel,7.1,2965.0,0,35.54,62.9,221,0,0,35.28,59.2,0
1,2024-05-27,21,31.6,steel,7.1,2965.0,0,36.79,68.4,228,0,0,35.62,60.02,0
1,2024-06-03,22,31.6,steel,7.1,2965.0,0,36.38,59.2,235,0,0,35.88,62.97,0
