shap_infra_age_years,shap_informal_settlement_pct,shap_population_density,shap_nrw_pct,shap_nrw_pct_roll4,shap_rainfall_mm,shap_rainfall_roll4,shap_days_since_maintenance,shap_historical_incidents_90d,shap_is_known_hotspot,unit_id,week_start,risk_score,actual_burst_next_week,infra_age_years,informal_settlement_pct,population_density,nrw_pct,nrw_pct_roll4,rainfall_mm,rainfall_roll4,days_since_maintenance,historical_incidents_90d,is_known_hotspot
0.00063066604,-0.0009900681,0.0,-0.027836451,-0.010772548,0.003294336,0.00036834838,-0.019965421,0.0,0.0,1,2026-05-18,48.63,0,31.6,7.1,2965.0,33.33,32.79,58.7,58.65,126,0,0
0.00018412888,-0.0009900681,0.0,-0.028662924,-0.011219085,0.003294336,-0.0021846625,-0.015692864,0.0,0.0,1,2026-05-25,48.63,0,31.6,7.1,2965.0,33.71,33.29,76.0,63.32,133,0,0
0.00018412888,-0.0009900681,0.0,-0.03560414,-0.010443988,0.003294336,-0.0021846625,-0.009526745,0.0,0.0,1,2026-06-01,48.63,0,31.6,7.1,2965.0,32.62,33.28,67.0,67.8,140,0,0
0.00027979456,-0.0009900681,0.0,-0.035214975,-0.010443988,0.0026564957,-0.011869649,0.012929423,0.0,0.0,1,2026-06-08,48.95,0,31.6,7.1,2965.0,32.27,32.98,74.8,69.12,147,0,0
0.00027979456,-0.0009900681,0.0,-0.035214975,-0.010443988,0.0026564957,-0.011869649,0.012929423,0.0,0.0,1,2026-06-15,48.95,0,31.6,7.1,2965.0,32.44,32.76,87.4,76.3,154,0,0
0.00027979456,-0.0009900681,0.0,-0.035214975,-0.010443988,0.0026564957,-0.011869649,0.012929423,0.0,0.0,1,2026-06-22,48.95,0,31.6,7.1,2965.0,32.52,32.46,78.0,76.8,161,0,0
0.00027979456,-0.0009900681,0.0,-0.035214975,-0.007234942,0.0035980272,-0.011869649,0.027082406,0.0,0.0,1,2026-06-29,49.41,1,31.6,7.1,2965.0,33.74,32.74,77.0,79.3,168,0,0
0.00027979456,-0.0009900681,0.0,-0.035214975,-0.007234942,0.0035980272,-0.011869649,0.027082406,0.0,0.0,1,2026-07-06,49.41,0,31.6,7.1,2965.0,34.9,33.4,79.3,80.42,175,0,0
-0.0019505604,-0.0009900681,0.0,-0.020379104,-0.012325758,0.003294336,-0.0021846625,-0.020735322,0.0,0.0,1,2026-07-13,48.63,0,31.6,7.1,2965.0,27.21,32.09,63.4,74.42,0,1,0
-0.0019505604,-0.0009900681,0.0,-0.020379104,-0.012325758,0.003294336,-0.0021846625,-0.020735322,0.0,0.0,1,2026-07-20,48.63,0,31.6,7.1,2965.0,28.55,31.1,79.7,74.85,7,1,0
0.00063066604,-0.0009900681,0.0,-0.020379104,-0.012325758,0.003294336,-0.0021846625,-0.023316547,0.0,0.0,1,2026-07-27,48.63,0,31.6,7.1,2965.0,29.97,30.16,65.1,71.88,14,1,0
0.00063066604,-0.0009900681,0.0,-0.020379104,-0.012325758,0.003294336,-0.0021846625,-0.023316547,0.0,0.0,1,2026-08-03,48.63,0,31.6,7.1,2965.0,29.12,28.71,63.6,67.95,21,1,0
0.00063066604,-0.0009900681,0.0,-0.020379104,-0.012325758,0.003294336,-0.0021846625,-0.023316547,0.0,0.0,1,2026-08-10,48.63,0,31.6,7.1,2965.0,29.21,29.21,64.7,68.28,28,1,0
0.00063066604,-0.0009900681,0.0,-0.020379104,-0.012325758,0.003294336,-0.0021846625,-0.023316547,0.0,0.0,1,2026-08-17,48.63,0,31.6,7.1,2965.0,28.66,29.24,58.2,62.9,35,1,0
